curr_step,dataset,net,RPMAX,train_rate,val_rate,date,alpha,C,dprate,dropout,early_stopping,epoch,epochs,Gamma,heads,hidden,Init,JK,K,layers,lr,nhop,output_heads,ppnp,test_acc_std,test_f1_macro_std,test_f1_micro_std,train_acc_std,train_f1_macro_std,train_f1_micro_std,val_acc_std,val_f1_macro_std,val_f1_micro_std,weight_decay,test_rate,test_acc_mean,test_f1_macro_mean,test_f1_micro_mean,train_acc_mean,train_f1_macro_mean,train_f1_micro_mean,val_acc_mean,val_f1_macro_mean,val_f1_micro_mean,cometml,exp,parameter_search,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,total_time_mean,total_time_std,aggr,kernel_size,conditional,att_weight_decay,batch_size,root,sample_coverage,walk_length,depth,num_neighbors
,cora,GCN,10,0.6,0.2,2021-11-18 14:08:31.083,0.1,7.0,0.5,0.5,40,,2000,,8.0,64,PPR,last,10.0,2.0,0.05,2.0,1.0,GPR_prop,0.9967849071117378,0.93765030499775,0.9967849071117388,1.2566829219333893,1.2312614605019097,1.2566829219333897,1.5130276260937925,1.551388324118003,1.5130276260937936,0.0,0.1999999999999999,87.76683087027915,61.81360173111013,87.76683087027915,91.49004495825304,91.50293316485472,91.49004495825304,86.62361623616238,60.377995182309455,86.62361623616238,False,,True,41.2,0.6000000000000004,0.0278284746208991,0.0005702627601119,1.146754050254822,0.0370418439585188,,,,,,,,,,
,cora,JK-GCN,10,0.6,0.2,2021-12-07 15:04:49.599,0.1,7.0,0.5,0.5,40,,2000,,8.0,64,PPR,cat,10.0,2.0,0.05,2.0,1.0,GPR_prop,1.2341515549499886,1.1651615519072134,1.2341515549499886,1.2628225030938296,1.2882746030494128,1.2628225030938325,1.2714573545402237,0.9016851142631512,1.2714573545402237,0.0,0.1999999999999999,87.17569786535304,61.25789951959779,87.17569786535304,92.22864482980091,92.2388453954657,92.22864482980091,87.47232472324724,61.59681840834843,87.47232472324724,True,,False,41.0,5.551115123125783e-15,0.0141610559731616,0.000157558935973,0.580603294899629,0.0064599163748937,mean,16.0,,,,,,,,
,cora,ChebNet,10,0.6,0.2,2021-11-25 13:02:00.957,0.1,7.0,0.5,0.5,40,,2000,,8.0,16,PPR,last,10.0,2.0,0.05,2.0,1.0,GPR_prop,1.0812530465125982,0.6876610182760243,1.0812530465125985,0.3120752887156419,0.3131340376701584,0.3120752887156419,1.4718576144043642,1.201194155217621,1.4718576144043656,0.0005,0.1999999999999999,88.04597701149426,61.98106165274617,88.04597701149426,96.61528580603724,96.63465986468822,96.61528580603724,87.56457564575646,61.99721821066425,87.56457564575646,False,,True,61.8,9.56869897112455,0.0302711954790775,0.0005604125166905,1.8679425716400144,0.2699074832620733,,,,,,,,,,
,cora,SGC,10,0.6,0.2,2021-11-26 19:28:50.694,0.1,7.0,0.5,0.5,40,,100,,8.0,64,PPR,last,10.0,2.0,0.2,2.0,1.0,GPR_prop,1.5068309815781504,1.5695796463727425,1.5068309815781495,0.4289224882996509,0.4134804414197396,0.4289224882996501,0.8788564844143572,0.6721445566189984,0.8788564844143572,5e-06,0.1999999999999999,87.24137931034483,61.91882451641455,87.24137931034483,92.54977520873474,92.56591131662668,92.54977520873474,86.36531365313654,61.12943813512965,86.36531365313654,False,,True,99.0,0.0,0.013121528336496,0.0001901871701759,1.2990313053131106,0.0188285298474179,mean,16.0,,,,,,,,
,cora,GAT,10,0.6,0.2,2021-11-24 20:55:53.436,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.05,2.0,8.0,GPR_prop,1.1796403977446184,0.5730794167748964,1.1796403977446184,0.95737793676116,0.9626098623870148,0.95737793676116,1.0214472720049002,1.374691337235478,1.021447272004904,0.0005,0.1999999999999999,88.128078817734,61.900403924227454,88.128078817734,93.7058445728966,93.72262383133426,93.7058445728966,88.28413284132841,61.89111378889175,88.28413284132841,False,,True,110.8,5.418486873657625,0.0216207833045461,0.0002203225811373,2.3954693078994747,0.1178733623542494,,,,,,,,,,
,cora,JK-GAT,10,0.6,0.2,2021-12-07 14:33:04.260,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,lstm,10.0,2.0,0.05,2.0,8.0,GPR_prop,1.3793103448275863,1.4281876450490756,1.379310344827584,1.1453330047527162,1.1280523309621182,1.145333004752718,1.5011694174766048,4.057368331378678,1.5011694174766048,0.0005,0.1999999999999999,87.88177339901479,61.724367246237634,87.88177339901479,93.72511239563262,93.73205457456363,93.72511239563262,87.63837638376384,62.713991367071465,87.63837638376384,True,,False,106.39999999999998,3.979949748426479,0.0189875757727333,0.0020615096947278,2.019782449599552,0.2261003353631997,mean,16.0,,,,,,,,
,cora,H2GCN,10,0.6,0.2,2021-11-26 11:12:12.776,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.05,2.0,1.0,GPR_prop,0.9017753837599976,1.239782970823312,0.9017753837599956,0.6637385065003882,0.6608636087995632,0.6637385065003889,0.6766465247561725,0.6313744707444242,0.6766465247561742,0.0005,0.1999999999999999,89.0311986863711,62.70708823051071,89.0311986863711,95.95375722543352,95.97334508816232,95.95375722543352,88.65313653136532,62.64752855209591,88.65313653136532,False,,True,109.3,2.79463772249642,0.0211918163562698,0.0001517254446918,2.31643295288086,0.0677793813953859,,,,,,,,,,
,cora,GraphSAGE,10,0.6,0.2,2021-11-30 13:21:18.386,0.1,7.0,0.5,0.5,100,,500,,8.0,128,PPR,last,10.0,2.0,0.1,2.0,1.0,GPR_prop,1.1698859199052154,0.8535563723429144,1.169885919905215,1.6556879428856135,1.700023459257154,1.6556879428856135,1.2803949500293332,0.9616436500580544,1.2803949500293346,0.0005,0.1999999999999999,87.55336617405582,61.7140732337019,87.55336617405582,96.84007707129096,96.826338657685,96.84007707129096,86.93726937269372,61.24977388709202,86.93726937269372,False,,True,116.3,7.211795892841115,0.020259098231363,5.906825780109385e-05,2.3560951697000747,0.1457521445546063,mean,16.0,,,,,,,,
,cora,JK-GraphSAGE,10,0.6,0.2,2021-12-07 14:45:33.341,0.1,7.0,0.5,0.5,100,,500,,8.0,128,PPR,cat,10.0,2.0,0.1,2.0,1.0,GPR_prop,1.129190886499456,0.6591400494742864,1.1291908864994569,1.1999968100044116,1.2086119097697634,1.1999968100044116,1.2969049277335774,3.474961163756997,1.2969049277335774,0.0005,0.1999999999999999,87.37274220032842,61.58347747310702,87.37274220032842,97.50160565189466,97.4981719627394,97.50160565189466,87.5830258302583,62.474247847410005,87.5830258302583,True,,False,106.3,1.615549442140353,0.0149678986157836,0.0001221170797043,1.5910247787000116,0.0235079441667609,mean,16.0,,,,,,,,
,cora,MLP,10,0.6,0.2,2021-11-24 21:19:23.648,0.1,7.0,0.5,0.5,40,,2000,,8.0,64,PPR,last,10.0,2.0,0.05,2.0,1.0,GPR_prop,2.019704433497539,1.6319860308980896,2.0197044334975387,0.5692619089572335,0.5844233340635014,0.5692619089572335,1.3732689347548634,1.236036003945547,1.373268934754862,0.0005,0.1999999999999999,77.35632183908045,54.070855956948506,77.35632183908045,94.8747591522158,94.86341058471312,94.8747591522158,76.01476014760148,53.26203723962647,76.01476014760149,False,,True,58.1,6.040695324215583,0.0116473748759017,0.0001627515834121,0.6762564182281494,0.0661400160997218,,,,,,,,,,
