aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,40,193.66666666666669,7.586537784494024,0.0145813069415927,0.0005057690335446,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,90.24147373661935,0.8278958998414682,63.68507130037765,1.7431695851358269,90.24147373661935,0.8278958998414682,0.1999999999999999,2.820177547633648,0.0284990202095729,91.93874602715978,0.477105502321133,91.89026039073376,0.4870778683822681,91.93874602715978,0.477105502321133,0.6,88.72222222222223,0.2187224409447724,62.35353941905344,0.8665713417397013,88.72222222222223,0.2187224409447724,0.2,2.0,5e-06,2022-06-01 15:00:57.725
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,40,196.66666666666669,6.5996632910744495,0.0164665268595899,0.0004256214285727,2000,scalability_node_edge,True,,8.0,64,PPR,cat,10.0,16.0,2.0,0.002,JK-GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,89.09634055265123,0.6453314113425791,63.119454205421945,1.4337950975276463,89.09634055265123,0.6453314113425791,0.1999999999999999,3.2357723880000244,0.041168836750814,94.34652797842628,0.5692966081530064,94.29921011568196,0.5774698608120333,94.34652797842628,0.5692966081530076,0.6,89.61111111111111,0.5106882308569491,62.56219712398912,1.5827868289544602,89.61111111111111,0.5106882308569491,0.2,2.0,5e-06,2022-06-02 12:51:01.988
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,40,818.3333333333334,18.372685039360885,0.0185939348580731,6.331874514727111e-05,2000,scalability_node_edge,False,,8.0,16,PPR,last,10.0,16.0,2.0,0.002,ChebNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,89.32038834951456,1.1761027444379075,67.17555279884769,4.473251673894128,89.32038834951456,1.1761027444379075,0.1999999999999999,15.21717801876366,0.3933816990842262,94.04796301646924,0.1179567438497164,94.03042474087404,0.1336753673677712,94.04796301646924,0.1179567438497164,0.6,88.47222222222223,0.6538112386633246,61.55901806038846,0.6988038465532539,88.47222222222223,0.6538112386633246,0.2,2.0,0.0005,2022-06-01 15:56:51.655
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,40,51.33333333333333,2.6246692913372724,0.0229289292460958,0.0005819681692304,100,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,86.15882499377645,2.892658867242724,67.53285180235883,3.1901775418392675,86.15882499377645,2.892658867242724,0.1999999999999999,1.1754911324630182,0.0293559841984237,67.44678801887702,5.390524250459791,60.051197708025896,5.692555589925117,67.44678801887702,5.390524250459791,0.6,85.30555555555556,2.997941680718232,70.26094558771297,7.098486770225075,85.30555555555556,2.997941680718232,0.2,2.0,0.0005,2022-06-01 15:21:42.174
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,100,125.0,5.715476066494087,0.0188201054469757,0.0001464185032955,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,GAT,2.0,10.0,4.0,True,GPR_prop,2000.0,3,50.0,90.36594473487676,1.1995801646160569,63.90193973087585,0.5502185255798016,90.36594473487676,1.1995801646160529,0.1999999999999999,2.3533204713215428,0.125901603434108,88.51006452855628,1.3618428338885211,88.5483423363255,1.3787127392301617,88.51006452855628,1.3618428338885225,0.6,89.6388888888889,1.0030816714037702,62.50192898639625,1.207568008228645,89.6388888888889,1.0030816714037702,0.2,2.0,0.0005,2022-06-01 05:22:34.722
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,100,113.0,3.559026084010429,0.0252708756313602,0.0058054935241939,2000,scalability_node_edge,True,,8.0,64,PPR,lstm,10.0,16.0,2.0,0.05,JK-GAT,2.0,10.0,4.0,False,GPR_prop,2000.0,3,50.0,89.94274334080158,0.9051361196264772,63.70763880214982,1.703162125922282,89.94274334080158,0.9051361196264772,0.1999999999999999,2.835133731000004,0.5524341647634058,89.27092362515651,0.6875303206231221,89.28247833812209,0.6362521403349114,89.27092362515651,0.6875303206231221,0.6,88.97222222222221,0.4374448818895466,61.09995811068348,0.4011686380788156,88.97222222222221,0.4374448818895466,0.2,2.0,0.0005,2022-06-02 12:52:52.337
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,40,71.66666666666667,4.10960933531265,0.0991635512833808,0.0053998711435642,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,H2GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,90.63978093104306,0.5922517925501771,65.41709324190028,1.1255125717566412,90.63978093104306,0.5922517925501771,0.1999999999999999,7.084745706990361,0.0438914358101926,98.41086391216412,1.1887324592595865,98.37265751173256,1.228581984321941,98.41086391216412,1.1887324592595865,0.6,90.27777777777776,0.2832788618662636,62.46765871570234,0.3746293339456636,90.2777777777778,0.2832788618662622,0.2,2.0,5e-06,2022-06-01 15:40:28.248
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,100,117.0,5.656854249492374,0.016042781038392,0.0001117453741146,500,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.1,GraphSAGE,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,88.79761015683346,0.541985089795303,63.27456025052681,1.1376863288205363,88.79761015683346,0.5419850897953096,0.1999999999999999,1.8772979645679395,0.0973369934776527,93.80718482134256,1.3563144942528322,93.79012878768886,1.39353929318235,93.80718482134256,1.3563144942528322,0.6,89.77777777777777,0.684934889218773,64.08739876346809,0.7389726949078906,89.77777777777777,0.684934889218773,0.2,2.0,0.0005,2022-06-01 05:31:05.188
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,100,110.0,2.8284271247461823,0.0199377433971732,0.0001972300758364,500,scalability_node_edge,True,,8.0,64,PPR,max,10.0,16.0,2.0,0.1,JK-GraphSAGE,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,90.09210853871048,0.3467360785955708,63.7317144750757,1.311611378738062,90.09210853871048,0.3467360785955708,0.1999999999999999,2.1926427419999754,0.0372689443117167,93.68198015987672,1.0123227077700785,93.73408339989732,0.9759034006573304,93.68198015987672,1.0123227077700785,0.6,88.44444444444444,0.6538112386633246,62.61192415376872,1.065015939750286,88.44444444444444,0.6538112386633246,0.2,2.0,0.0005,2022-06-02 12:53:25.306
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,40,416.3333333333333,35.649528592800344,0.011881988169745,0.0002222865152694,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,73.81130196664178,0.8278958998414689,53.2137098271625,0.6404762889325706,73.81130196664178,0.8278958998414689,0.1999999999999999,4.954321265841524,0.5107934739156481,95.61783684869498,0.6375486531228116,95.58594038387946,0.6436385401163347,95.61783684869498,0.6375486531228116,0.6,74.30555555555557,0.8748897637790916,52.36826416659422,0.2815240955597097,74.30555555555557,0.8748897637790916,0.2,2.0,5e-06,2022-06-01 05:35:48.733
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,100,109.33333333333334,4.784233364802436,0.0230179095659658,0.0001652141094077,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,25.0,2.0,0.01,MoNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,88.20014936519792,1.041994002312988,61.89042341030865,1.439097718249013,88.2001493651979,1.0419940023129883,0.1999999999999999,2.517241763571898,0.1248961586615035,95.5311566984494,0.0360363804947906,95.5698417220916,0.0358643149232703,95.5311566984494,0.0360363804947906,0.6,87.58333333333333,0.5569427126600979,61.08735206709531,0.7389203707601141,87.58333333333333,0.5569427126600979,0.2,2.0,5e-05,2022-06-01 16:27:50.024
mean,0.9,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,100,109.0,2.9439202887759417,0.0192124211741939,0.0001288027224228,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,GPRGNN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,91.76001991535972,0.5257334349500322,66.19265271950528,1.7237196165099926,91.76001991535972,0.5257334349500322,0.1999999999999999,2.093775253122052,0.0423758050055543,89.65616873735914,0.0817228293772375,89.679291467232,0.0416529011376215,89.65616873735914,0.0817228293772375,0.6,91.11111111111111,0.6815468970214074,63.60937123727521,1.2024712276222105,91.11111111111111,0.6815468970214074,0.2,2.0,5e-06,2022-06-01 16:49:20.121
mean,0.1,0.001,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.5,40,53.66666666666667,2.0548046676563274,0.0668534619294987,0.0015110802452295,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,FSGNN,8.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,90.24147373661935,0.4657278300689502,65.05460466442571,1.0184078308093194,90.24147373661935,0.4657278300689502,0.1999999999999999,3.5847288270791373,0.0591324593348975,99.04651834729847,0.023591348769946,99.051609662104,0.0261707981453968,99.04651834729847,0.023591348769946,0.6,89.30555555555556,0.7211530547637296,62.89759248269989,1.3653332571776526,89.30555555555556,0.7211530547637296,0.2,2.0,5e-05,2022-06-01 06:50:20.584
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.2,40,158.0,17.04894913672589,0.0205720422245327,0.0001173684009784,300,scalability_node_edge,False,,8.0,256,PPR,last,10.0,16.0,2.0,0.002,GraphSAINT-GAT,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,84.4909136171272,0.6744444702088171,59.420627811851176,1.3842683210483515,84.4909136171272,0.6744444702088171,0.1999999999999999,3.251357059304913,0.3591617821807963,92.33362226716748,2.218255941536633,92.3963743415072,2.191162811437307,92.33362226716748,2.2182559415366345,0.6,83.72222222222221,0.671280331866365,58.31435351984384,0.7602334737075268,83.72222222222221,0.671280331866365,0.2,4.0,0.0,2022-06-01 17:10:44.919
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.0,40,117.33333333333331,1.8856180831641285,0.0172259453673386,0.0002735651313256,300,scalability_node_edge,False,,8.0,128,PPR,last,10.0,16.0,2.0,0.002,GraphSAINT-GraphSAGE,2.0,10.0,1.0,True,GPR_prop,1500.0,3,50.0,88.0756783669405,1.0227850925653037,63.07532978613645,1.0883483883547225,88.0756783669405,1.0227850925653037,0.1999999999999999,2.0214026806255183,0.0546920836735898,95.08812481941636,0.8377420486557902,95.02352244363036,0.8351175079074902,95.08812481941636,0.8377420486557902,0.6,87.8888888888889,0.7147044627926987,60.87755667350551,0.8519727669379081,87.8888888888889,0.7147044627926987,0.2,2.0,0.0,2022-06-01 17:13:08.369
mean,0.1,0.01,128.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.2,40,41.66666666666667,0.9428090415820642,1.0646498112821008,0.0040643358329976,200,scalability_node_edge,False,,8.0,128,PPR,last,10.0,16.0,2.0,0.002,Shadow-GAT,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,87.97610156833458,0.6453314113425791,62.57175320575337,0.5882839894510983,87.97610156833458,0.6453314113425791,0.1999999999999999,44.35660082900024,0.8329859933415057,96.61947414042184,1.858782715101967,96.58750624782536,1.883755438141924,96.61947414042184,1.858782715101967,0.6,87.6388888888889,1.0030816714037654,60.457930804030646,1.466538921621933,87.6388888888889,1.0030816714037636,0.2,2.0,0.0,2022-06-01 19:50:15.242
mean,0.1,0.01,64.0,7.0,False,False,GenCAT_cora_6000_10000_2,2.0,0.5,0.1,40,41.0,0.0,1.6188260725609689,0.00491777609023,200,scalability_node_edge,False,,8.0,256,PPR,last,10.0,16.0,2.0,0.002,Shadow-GraphSAGE,2.0,20.0,1.0,True,GPR_prop,2000.0,3,50.0,89.09634055265123,1.5023396833074063,63.29635629243236,1.7449150728551763,89.09634055265123,1.5023396833074063,0.1999999999999999,66.37186897499973,0.2016288196994311,94.87624000770492,5.136218243110278,94.88075535358314,5.130671857570763,94.87624000770492,5.136218243110278,0.6,87.91666666666667,1.180473853381991,60.810306741508455,1.2134800774736858,87.91666666666667,1.180473853381991,0.2,2.0,0.0,2022-06-02 01:44:56.609
