aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date,num_edge_layers,num_node_layers,supplementary
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,201.66666666666663,9.741092797468308,0.0129135727307123,0.0001242885670412,2000,classsize,False,,8.0,16,PPR,last,10.0,16.0,2.0,0.01,GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,93.92575928009,1.1725906090072673,56.02799375188475,2.107555763688785,93.92575928009,1.1725906090072673,0.1999999999999999,2.605438122999961,0.1499491049973574,85.64343513442965,4.956929618124535,73.27473024865174,6.664243664865539,85.64343513442965,4.956929618124535,0.6,93.1119311193112,0.5703332408053965,50.289168159057816,0.8196347543710434,93.1119311193112,0.5703332408053965,0.2,2.0,0.0,2022-08-04 20:34:41.238,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,245.66666666666663,47.83536581047774,0.0216277159039919,0.0001711261410428,2000,classsize,True,,8.0,16,PPR,lstm,10.0,16.0,2.0,0.01,JK-GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,92.91338582677167,0.5586675825178594,51.04665417148391,4.264252150048923,92.91338582677167,0.5586675825178646,0.1999999999999999,5.309851367666663,1.0188293498046797,92.90002610284522,4.11713947555504,86.0714839515249,8.765082406599726,92.90002610284522,4.11713947555504,0.6,93.54243542435424,0.5218500230159057,50.549163437364406,3.1338651484242703,93.54243542435424,0.5218500230159057,0.2,2.0,0.0,2022-08-08 17:41:53.269,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,871.0000000000001,25.80697580112784,0.0179328096248396,0.0002461072672331,2000,classsize,False,,8.0,16,PPR,last,10.0,16.0,2.0,0.002,ChebNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,94.750656167979,0.053026380291453,55.83369704136653,0.5722769133506965,94.750656167979,0.053026380291453,0.1999999999999999,15.625295440666678,0.6660636282620784,98.61654920386322,0.0738299954253768,98.4411045392038,0.115929829717256,98.61654920386322,0.0738299954253768,0.6,94.52644526445263,0.6271856720286294,50.38884687100518,3.9676940366243607,94.52644526445263,0.6271856720286294,0.2,2.0,0.0005,2022-08-04 21:11:31.273,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,65.66666666666667,0.4714045207910321,0.0117195715541613,0.0001809979616199,100,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,95.61304836895388,0.0918443848062656,80.19647166641506,0.5627958717679714,95.61304836895388,0.0918443848062656,0.1999999999999999,0.7695017676669522,0.0065360741784762,68.51996867658573,0.2305340868266232,45.392348321498055,0.1492320745081418,68.51996867658573,0.2305340868266232,0.6,95.8179581795818,0.2301142304288986,85.87415182994795,1.2650250395922094,95.8179581795818,0.2301142304288986,0.2,2.0,0.0005,2022-08-04 19:49:43.249,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,534.6666666666666,57.56349151637309,0.0151224081135693,0.0001707486060741,2000,classsize,False,,8.0,16,PPR,last,10.0,16.0,2.0,0.002,GAT,2.0,10.0,8.0,True,GPR_prop,2000.0,3,50.0,94.1132358455193,1.3817417152372142,57.29224053311752,5.6069591034786725,94.1132358455193,1.381741715237217,0.1999999999999999,8.075949405999987,0.7761235861708626,82.27616810232314,4.167963175403196,71.27787283637052,8.37026316669751,82.27616810232314,4.167963175403192,0.6,92.92742927429276,0.8296886570253431,49.579555438738495,3.003825659383326,92.92742927429276,0.8296886570253431,0.2,2.0,0.0005,2022-08-04 19:11:08.250,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,376.33333333333337,6.182412330330474,0.0261465114379793,0.0017420628580267,2000,classsize,True,,8.0,16,PPR,lstm,10.0,16.0,2.0,0.002,JK-GAT,2.0,10.0,8.0,False,GPR_prop,2000.0,3,50.0,94.82564679415074,0.7173275766670032,51.24007562401221,1.909748324729156,94.82564679415074,0.7173275766670032,0.1999999999999999,9.832904396999954,0.5603947216026803,79.97911772383189,3.730607094593744,69.80418649444609,7.295993696677028,79.9791177238319,3.730607094593744,0.6,94.83394833948338,0.301290251264844,58.12070449048255,8.752544751276945,94.83394833948338,0.301290251264844,0.2,2.0,0.0005,2022-08-08 17:43:36.992,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,279.00000000000006,30.24345659257001,0.0163524121414779,0.0001017800179513,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,H2GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,95.53805774278216,0.42421104233164,55.59799798329173,4.475616203833242,95.53805774278216,0.42421104233164,0.1999999999999999,4.560149166999811,0.4736926418762405,94.72722526755418,0.7071896206809742,94.00051927733948,0.7064640740270232,94.72722526755416,0.707189620680979,0.6,95.14145141451417,0.6088250268518867,48.53297591243724,4.943066150754491,95.14145141451417,0.6088250268518867,0.2,2.0,0.0005,2022-08-04 19:43:20.213,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,140.66666666666669,4.027681991198183,0.0143471588833052,0.0001671789394573,500,classsize,False,,8.0,128,PPR,last,10.0,16.0,2.0,0.002,GraphSAGE,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,93.96325459317586,1.0444985584690016,53.54405792734948,3.330653587836562,93.96325459317586,1.0444985584690054,0.1999999999999999,2.0188403326668167,0.0808492355182362,92.16914643696164,2.2231902218603588,86.55507779042144,5.971663307741774,92.16914643696164,2.22319022186036,0.6,94.4649446494465,0.6903426912867046,46.30405101921749,1.4823434350705151,94.4649446494465,0.6903426912867046,0.2,2.0,5e-05,2022-08-04 19:51:28.928,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,147.33333333333334,4.189935029992182,0.0199410609509013,0.0011536106870051,500,classsize,True,,8.0,128,PPR,max,10.0,16.0,2.0,0.002,JK-GraphSAGE,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,94.48818897637796,0.4003403919021879,52.74151736860942,4.458841732329116,94.48818897637796,0.4003403919021879,0.1999999999999999,2.9346485936666795,0.124194700085221,97.2853040981467,0.6210063823216057,96.66274249456622,0.772112654643417,97.2853040981467,0.6210063823216057,0.6,94.15744157441574,0.9801585147914657,46.578749727401394,2.534595769854507,94.15744157441574,0.9801585147914657,0.2,2.0,5e-05,2022-08-08 17:44:32.377,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,661.0,91.5204895091804,0.0100178734359689,5.481054846946167e-05,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,83.2020997375328,1.3064305504450209,42.55293932705257,3.2850694197823804,83.2020997375328,1.3064305504450209,0.1999999999999999,6.6220687743334565,0.9161675556894432,97.72905246671888,0.5115092127973221,97.4795426140631,0.6961993296390275,97.72905246671888,0.5115092127973221,0.6,81.36531365313652,1.629476174599234,39.37398042584954,2.942333712067994,81.36531365313652,1.6294761745992294,0.2,2.0,0.0005,2022-08-04 21:26:20.263,,,
