aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_20000_2,2.0,0.5,0.5,100.0,106.33333333333331,3.6817870057290905,0.0127919158229637,4.833981441653356e-05,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,90.9189777052746,0.3352046766160388,64.20059527213944,0.6620671967203038,90.9189777052746,0.3352046766160382,0.1999999999999999,1.3602887901167071,0.0497916974028765,93.41060313371968,0.9868696228866852,93.23520278759185,0.9952201205171942,93.41060313371968,0.9868696228866852,0.6,90.65190651906518,0.5703332408053913,63.80722563879069,1.0635560606540522,90.6519065190652,0.5703332408053933,0.2,2.0,5e-06,2022-06-08 11:31:10.803
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_20000_1,2.0,0.5,0.5,100.0,106.33333333333334,4.027681991198195,0.0126584049340401,0.0002377445485235,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,91.96919691969198,1.2519039248339987,63.06166418078472,0.5991421001945973,91.96919691969198,1.2519039248339987,0.1999999999999999,1.3456567296137414,0.0474444143498084,95.29914529914532,2.5048349768752742,95.25208812290614,2.515465873363581,95.29914529914532,2.5048349768752742,0.6,91.5129151291513,1.176576043647539,65.67701836883718,6.53400649498415,91.5129151291513,1.176576043647539,0.2,2.0,5e-06,2022-06-08 11:30:52.618
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_20000_0,2.0,0.5,0.5,100.0,106.33333333333334,1.2472191289246484,0.012744265808291,7.786882914587717e-05,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,88.53161843515541,1.6725065953191025,61.99013740010276,1.4804037657505649,88.53161843515541,1.6725065953191025,0.1999999999999999,1.3551276791840794,0.0169685679598624,95.83333333333334,1.2315164677851167,95.8614620741097,1.229502826164432,95.83333333333334,1.2315164677851167,0.6,90.34440344403444,1.3502151537576994,63.33132779319298,0.5052021893284446,90.34440344403444,1.350215153757697,0.2,2.0,5e-06,2022-06-08 11:30:34.462
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_2,2.0,0.5,0.5,100.0,581.0,40.30715403829284,0.0124067198002591,5.5746607541370414e-05,2000.0,scalability_edge,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,92.37788513150832,2.0552001845492915,63.65462161745066,2.117030699441969,92.37788513150832,2.0552001845492915,0.1999999999999999,7.208639458442728,0.5061143331486706,94.08845738942829,0.4494642212729158,94.02448907659576,0.4865561989921516,94.08845738942824,0.4494642212729125,0.6,93.05043050430504,0.5290482944060632,65.37548791263968,0.2691220761626592,93.05043050430504,0.5290482944060632,0.2,2.0,0.0,2022-06-08 11:29:57.593
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_1,2.0,0.5,0.5,100.0,587.6666666666666,58.97645481225726,0.0126026621355038,0.0001623145539066,2000.0,scalability_edge,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,86.58078368223295,1.0708500989404184,59.956354843123016,2.0043989120314523,86.58078368223295,1.0708500989404184,0.1999999999999999,7.410921445737283,0.7969514400009101,92.14670981661274,0.6193182349258853,92.16435648390564,0.6020382035453177,92.14670981661271,0.6193182349258871,0.6,86.53136531365314,0.6566468789687168,61.10854812221794,1.5023766334397166,86.53136531365314,0.6566468789687168,0.2,2.0,0.0,2022-06-08 11:29:20.776
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_0,2.0,0.5,0.5,100.0,491.3333333333333,79.00351609615585,0.0124167936644824,5.367501205459909e-05,2000.0,scalability_edge,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,84.077892325315,3.2520205192619422,67.14837771606142,5.494183258491617,84.077892325315,3.2520205192619422,0.1999999999999999,6.100577848032116,0.9814834402006668,90.88804713804711,1.4808596031783798,90.82485619087262,1.5359471994430478,90.88804713804711,1.4808596031783798,0.6,84.25584255842558,2.0229869868878843,67.56689180844236,5.030322992325322,84.25584255842558,2.0229869868878843,0.2,2.0,0.0,2022-06-08 11:28:48.413
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_10000_2,2.0,0.5,0.5,100.0,110.66666666666669,1.6996731711975863,0.0129541081148213,0.0004036821220345,2000.0,scalability_edge,True,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,89.52850877192982,0.9898832283589802,61.95211863397528,0.3878102204055589,89.52850877192982,0.9898832283589802,0.1999999999999999,1.4339508408059678,0.059609957000047,95.40008557980318,1.3957643500470762,95.33119890945318,1.453060182509297,95.40008557980318,1.3957643500470762,0.6,90.46740467404676,0.8566044450912728,62.795864979417146,1.272888235230028,90.46740467404676,0.8566044450912728,0.2,2.0,5e-05,2022-06-08 11:28:30.245
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_10000_1,2.0,0.5,0.5,100.0,110.66666666666669,4.496912521077342,0.0123758854665591,6.208900993522764e-05,2000.0,scalability_edge,True,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,87.54385964912282,0.6564311204866535,66.11530655079966,1.7912583207667556,87.54385964912282,0.6564311204866535,0.1999999999999999,1.3695358193169036,0.0547300837729229,95.96908939014205,0.7186570816242817,95.98197996652232,0.7108962245395253,95.96908939014202,0.7186570816242864,0.6,89.66789667896678,1.6294761745992303,67.95815229395595,3.2621448673161453,89.66789667896678,1.6294761745992303,0.2,2.0,5e-05,2022-06-08 11:28:12.109
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_10000_0,2.0,0.5,0.5,100.0,108.33333333333331,5.734883511361748,0.0131649702392816,0.0004141425811731,2000.0,scalability_edge,True,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,88.61646234676007,0.937675330076414,67.51633152384777,2.5332999998230177,88.61646234676007,0.937675330076414,0.1999999999999999,1.4250876338531573,0.0669510807723315,97.07419017763846,0.5933153423857217,97.08367209280276,0.5821272423282963,97.07419017763846,0.5933153423857217,0.6,88.74538745387453,0.8387565619302471,65.06448812064014,1.914329765195249,88.74538745387453,0.8387565619302471,0.2,2.0,5e-05,2022-06-08 11:27:53.770
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_5000_2,2.0,0.5,0.5,100.0,101.0,0.0,0.012594159588021,7.586341718526859e-05,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,86.05958403597528,0.8412945220402331,58.87032189076561,1.0194082925320918,86.05958403597528,0.8412945220402283,0.1999999999999999,1.2720101183901231,0.0076622051357121,91.16338207247296,0.2595348318269923,91.1445296118866,0.2230883958682466,91.16338207247296,0.2595348318269923,0.6,86.03936039360394,1.6797663325642895,58.980116943392815,1.7731053403872248,86.03936039360393,1.679766332564293,0.2,2.0,0.0,2022-06-08 11:27:35.463
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_5000_1,2.0,0.5,0.5,100.0,101.0,0.0,0.013160399096732,0.000576385417834,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,87.35070575461455,0.3071039223394292,60.58123669150307,0.2302842184757025,87.35070575461455,0.3071039223394292,0.1999999999999999,1.329200308769941,0.0582149272012392,91.77405498281789,1.6488915565007929,91.7382152857367,1.6702855709568114,91.77405498281789,1.6488915565007929,0.6,88.56088560885608,0.5218500230159004,61.67174375653225,0.2894320564419965,88.56088560885608,0.5218500230159004,0.2,2.0,0.0,2022-06-08 11:27:17.174
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_5000_0,2.0,0.5,0.5,100.0,101.0,0.0,0.0126008136634386,0.0001066962190972,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,87.85796105383734,0.5669813823947096,65.71551184362144,0.8827851188039231,87.85796105383734,0.5669813823947137,0.1999999999999999,1.2726821800072987,0.0107763181288201,96.46464646464644,0.4404135003463071,96.45720641432538,0.4465185060732157,96.46464646464644,0.4404135003463071,0.6,88.0688806888069,1.0687667402818424,66.56443827246464,0.5635107011867186,88.0688806888069,1.0687667402818473,0.2,2.0,0.0,2022-06-08 11:26:58.927
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_20000_2,2.0,0.5,0.5,100.0,448.3333333333333,37.65043898224237,0.0103264704806975,0.0002720032997105,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,65.57911908646004,2.2007728488143594,46.11265737675477,1.3061106915633955,65.57911908646004,2.2007728488143594,0.1999999999999999,4.623915297910571,0.3378983321550839,99.35608499678042,0.189563444222537,99.3542668678856,0.1879314739788575,99.35608499678042,0.189563444222537,0.6,65.68265682656826,1.0545158794269536,45.87002627721885,0.4197213760118889,65.68265682656826,1.0545158794269536,0.2,2.0,0.0,2022-06-08 11:36:26.301
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_20000_1,2.0,0.5,0.5,100.0,450.6666666666667,11.025223605694134,0.0096065779731648,8.504959908518973e-05,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,68.2068206820682,2.5290569708630666,46.41106070378109,1.684290027331652,68.2068206820682,2.5290569708630666,0.1999999999999999,4.329839420815309,0.1302386221321664,99.16666666666669,0.2093580976737751,99.1593142120175,0.2150573962647248,99.16666666666669,0.2093580976737751,0.6,66.54366543665438,0.5703332408053913,45.07948152604544,0.5171277422985239,66.54366543665438,0.5703332408053913,0.2,2.0,0.0,2022-06-08 11:35:59.058
