cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay,supplementary
True,GenCAT_cora_0_0,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:21:13.415,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,202.0,1.4142135623731067,0.0180345609084235,0.0057654628082812,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,79.26689576174113,2.179415531551028,59.62074687884017,5.790984697213383,79.26689576174113,2.179415531551028,0.1999999999999999,3.651134881999989,1.1958935706870293,87.7946127946128,7.756392594578927,85.93028767471861,9.73221191875494,87.79461279461279,7.756392594578933,80.68880688806888,1.90751075267784,60.4926830292809,5.659184606039628,80.68880688806888,1.907510752677836,2.0,0.001,False
True,GenCAT_cora_0_1,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:21:39.576,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,217.66666666666663,12.036980056845202,0.0147795489868971,0.0006449319754546,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,74.83974358974358,1.927523349644092,55.07803465242426,4.114421731289976,74.83974358974358,1.927523349644092,0.1999999999999999,3.21613395833333,0.2191853703916538,92.95287505404237,7.468897869595493,92.83045811694338,7.656845993952925,92.95287505404237,7.468897869595493,77.55227552275522,2.566867989509127,54.50226899699891,2.5711282139713303,77.55227552275522,2.566867989509127,2.0,0.001,False
True,GenCAT_cora_0_2,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:21:59.031,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,207.66666666666663,6.5996632910744495,0.0145638508455427,0.0007460623542207,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,75.93582887700535,2.986293968658127,60.708657496374165,5.530146796388277,75.93582887700535,2.986293968658127,0.1999999999999999,3.022190681666681,0.1370888532172436,85.25441329179647,1.9632485645850868,85.13592149040402,2.223436080389124,85.25441329179647,1.9632485645850868,79.15129151291512,1.8815570160859008,59.7791971846355,6.267508587609311,79.15129151291512,1.8815570160858992,2.0,0.001,False
True,GenCAT_cora_16_0,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:24:05.672,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,225.66666666666663,12.7627931460511,0.0134372463772592,0.0007970549203849,2000.0,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.01,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,70.31590413943356,7.092749774152908,49.42030872754471,2.163708465779368,70.31590413943356,7.092749774152907,0.1999999999999999,3.0403306339999667,0.3362436859769735,91.54869154869156,2.2380093459069084,91.64839699396953,2.0629750236713096,91.54869154869156,2.2380093459069084,69.49569495694958,8.360917568775651,50.82066389088505,3.1568336302090403,69.49569495694958,8.360917568775651,2.0,0.001,False
True,GenCAT_cora_16_1,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:24:25.085,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,204.3333333333333,2.3570226039551714,0.0134456926447855,0.0007258027892662,2000.0,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.01,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,75.28735632183908,1.837283604959286,54.252232037811424,1.4630205795975797,75.28735632183908,1.8372836049592849,0.1999999999999999,2.7456943166666106,0.1154547096433415,91.84531315678856,0.0786392893395094,91.9117326374818,0.0778590927364077,91.84531315678856,0.0786392893395094,70.84870848708488,5.101956986951076,52.4822700250934,4.286383918740396,70.84870848708488,5.101956986951076,2.0,0.001,False
True,GenCAT_cora_16_2,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:24:43.547,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,239.3333333333333,24.850665092821075,0.0133215788410451,0.0006475266239924,2000.0,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.01,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,80.87899543378995,4.770678925563211,55.967380230280384,1.4622584820950904,80.87899543378995,4.770678925563211,0.1999999999999999,3.199984399666694,0.4571341959109927,92.43573535608934,0.9179528407413354,92.37043229341066,0.9083592339482024,92.43573535608934,0.9179528407413354,81.24231242312425,4.351358659608541,60.73531890897116,5.231750350287888,81.24231242312425,4.351358659608539,2.0,0.001,False
True,GenCAT_cora_1_0,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:22:17.399,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,226.66666666666663,21.66923061752669,0.0136313116892875,0.0008029595499433,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,76.08815426997245,1.3785119562751276,52.904510963949605,1.4411032770556114,76.08815426997245,1.3785119562751276,0.1999999999999999,3.074976484666688,0.1681882219799564,93.10271193679264,0.6906240285627255,93.1649248210442,0.7096025187056687,93.10271193679264,0.6906240285627255,76.93726937269373,3.145562571351644,54.72126032755654,2.263525918661237,76.93726937269373,3.145562571351638,2.0,0.001,False
True,GenCAT_cora_1_1,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:22:35.792,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,214.66666666666663,9.030811456096052,0.0138489223141903,0.0007389429202008,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,66.88668866886688,5.89201093103232,50.11201628745786,2.011176336586092,66.88668866886688,5.89201093103232,0.1999999999999999,2.968564207666684,0.1216122904459406,91.98717948717947,0.912570790771909,91.93829055590706,0.8647313232974867,91.98717948717947,0.912570790771909,69.18819188191883,3.873074168224793,52.36361962102295,0.8326873987586139,69.18819188191883,3.873074168224793,2.0,0.001,False
True,GenCAT_cora_1_2,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:22:55.068,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,265.33333333333337,6.944222218666568,0.0133926273023262,0.0006340784187379,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,66.4488017429194,4.745756189715027,49.25552725348035,1.5271148893670947,66.4488017429194,4.745756189715027,0.1999999999999999,3.549729372666699,0.0973149340232395,93.007293007293,0.75472381320288,93.0920113389169,0.6995034728107656,93.007293007293,0.75472381320288,67.46617466174662,6.890813896890183,49.37540224088964,3.454292534491972,67.46617466174662,6.890813896890183,2.0,0.001,False
True,GenCAT_cora_4_0,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:23:14.491,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,206.3333333333333,7.542472332656514,0.0127464113902072,0.0008981930714018,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,1.0,10.0,1.0,1.0,False,GPR_prop,2000.0,50.0,75.83046964490264,2.053885575835176,55.69992448367383,0.8510810428185941,75.83046964490264,2.053885575835172,0.1999999999999999,2.626635073333357,0.1565528591773784,87.98400673400674,2.159012967791349,87.84787552979131,2.455772491475666,87.98400673400674,2.159012967791354,76.99876998769989,3.077489791684328,61.52527176553527,3.539317709911294,76.99876998769989,3.07748979168433,2.0,0.001,False
