cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay,supplementary
True,GenCAT_cora_120000_200000_0,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-09 14:38:56.008,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,488.33333333333326,60.42258591693085,0.0990815311449908,0.0006932482089649,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,86.36441950331046,1.267551968499649,61.07080056156465,0.801872528170344,86.36441950331046,1.267551968499654,0.1999999999999999,48.40410335858663,6.172015843057987,85.80646409534589,2.115594266536589,85.73781149116421,2.1665246014756905,85.80646409534589,2.115594266536589,86.20138888888889,1.5936590690593295,61.03141275038831,1.1646569197101135,86.20138888888889,1.5936590690593295,2.0,5e-05,
True,GenCAT_cora_120000_200000_1,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-09 14:41:36.570,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,417.6666666666667,266.3485602655955,0.094763455730524,0.0072656843516255,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,63.2947797736373,33.44230001797936,42.95741714214002,26.474235350602893,63.2947797736373,33.44230001797936,0.1999999999999999,41.512296330804624,26.903924006817142,63.37775462661516,34.29249631828931,59.664012034030144,39.573105961419145,63.37775462661516,34.2924963182893,63.51805555555556,33.42477619342045,43.05449735364942,26.49018481264581,63.51805555555556,33.42477619342045,2.0,5e-05,
True,GenCAT_cora_120000_200000_2,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-09 14:43:56.181,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,629.3333333333334,59.90177144477634,0.0980195674304709,0.0004430481256283,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,85.95234560570071,0.9736942569851578,60.772204911363104,0.4960496106933761,85.95234560570071,0.9736942569851578,0.1999999999999999,61.66706431036194,5.646972615989909,87.02116156935435,0.9006998910588246,87.00076244548464,0.9105052487088628,87.02116156935435,0.9006998910588246,85.8375,0.9410088656251802,60.64669067396608,0.6605670534883752,85.8375,0.941008865625181,2.0,5e-05,
True,GenCAT_cora_15000_25000_0,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-09 18:39:57.881,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,538.0,25.78113005022604,0.0263656979869489,0.0005771072498624,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,86.29376177724883,1.525132027114238,61.539085302253625,0.5271124182040214,86.29376177724883,1.525132027114238,0.1999999999999999,14.177726376180846,0.6044367430601063,89.82521125130222,0.975407495980626,89.79545121557018,0.95201369951458,89.82521125130222,0.975407495980624,86.08888888888889,2.174827934161661,61.16402581886218,0.914714097598094,86.08888888888887,2.174827934161665,2.0,5e-05,False
True,GenCAT_cora_15000_25000_1,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-08 22:11:05.049,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,437.3333333333333,44.99135719471264,0.0205602356283617,0.0001587773898665,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,81.57712476501435,4.335685300336436,60.05027992390283,1.437674623465463,81.57712476501435,4.335685300336439,0.1999999999999999,8.997204483797153,0.9804211783022312,83.28119568995481,6.902178274012629,81.46633015504611,9.40790784095429,83.28119568995481,6.902178274012629,82.03333333333333,4.596214223160749,60.13597149945789,1.3874369988775628,82.03333333333333,4.596214223160749,2.0,5e-05,
True,GenCAT_cora_15000_25000_2,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-08 22:11:46.586,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,570.6666666666666,108.79440345083115,0.0217009171874182,0.0007718961736821,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,86.76455898511638,1.9148183201706888,61.607047860907336,0.8092056391196385,86.76455898511638,1.9148183201706848,0.1999999999999999,12.45226162734131,2.6849441930891738,89.23775443456847,1.510733397001211,89.27844388449016,1.5113107092220812,89.23775443456847,1.510733397001211,86.10000000000001,1.5691469727919725,61.10922841642192,0.4928154814491725,86.10000000000001,1.5691469727919725,2.0,5e-05,
True,GenCAT_cora_60000_100000_0,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-09 14:33:26.632,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,434.0,17.795130420052203,0.05213365120322,0.0005064230244094,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,83.13124550571548,4.995482172542742,59.25416247112393,3.028183639629245,83.13124550571548,4.995482172542742,0.1999999999999999,22.62874424209197,1.0178984913048472,84.6755601855871,2.832803322577228,84.64287098412261,2.8122631486796226,84.6755601855871,2.832803322577228,83.09166666666667,5.286675248696972,59.07649160605849,3.188589044717949,83.09166666666667,5.286675248696978,2.0,5e-05,
True,GenCAT_cora_60000_100000_1,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-09 14:34:49.055,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,697.0,152.1205662185974,0.0512676923315308,0.0004105822148489,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,87.50616553220874,1.5411127315492388,60.95172313930212,1.435575974042001,87.50616553220874,1.5411127315492388,0.1999999999999999,35.73632250043253,7.851762748706728,87.58554692031085,0.4668921980051932,87.63634131973353,0.423090059467281,87.58554692031088,0.4668921980051884,87.14444444444446,2.01285605699286,60.62663724668784,1.7517621558587753,87.14444444444446,2.01285605699286,2.0,5e-05,
True,GenCAT_cora_60000_100000_2,scalability_node_edge,True,GCN,3,0.6,0.2,2022-08-09 14:36:51.549,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,688.3333333333333,27.7168220079832,0.0533089347372576,0.0007151006054755,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,87.14052772013045,1.0611564346238411,61.393388571812544,0.2929038539515275,87.14052772013045,1.0611564346238411,0.1999999999999999,36.68779551175733,1.400936254351805,88.45678296820061,0.5892385134651966,88.50309374231132,0.5987948250773962,88.45678296820061,0.5892385134651966,87.38333333333334,0.871062569509216,61.47827916608538,0.1500295366950988,87.38333333333334,0.871062569509216,2.0,5e-05,
True,GenCAT_cora_120000_200000_0,scalability_node_edge,True,MLP,3,0.6,0.2,2022-08-09 14:54:27.627,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,863.6666666666665,47.22522866246626,0.0980603526430522,0.0002596827827411,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,83.14258288414679,0.0548432891657588,58.96378316525875,0.0844551862206647,83.14258288414679,0.0548432891657563,0.1999999999999999,84.6857053861022,4.5387214740937845,87.54583006839441,0.1355674536803502,87.62873829254558,0.1356599919664697,87.54583006839441,0.1355674536803502,83.25277777777778,0.1712337223046929,59.10054757369482,0.0257865708100416,83.25277777777778,0.1712337223046929,2.0,0.0,
