aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,supplementary,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0_0,2.0,0.5,0.5,200.0,210.3333333333333,11.813363431112911,0.0222057379320909,0.0057696132846006,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.05,LINKX,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,73.48224513172967,5.423193843649857,51.46106379518221,14.792296133628668,73.48224513172967,5.423193843649857,0.1999999999999999,4.640352901333339,1.0933312498940573,65.97222222222221,21.48957504691607,62.30065013282844,24.54472441840251,65.97222222222221,21.489575046916062,0.6,75.33825338253382,3.647769403772918,52.57978989204556,10.063141233975015,75.33825338253382,3.647769403772926,0.2,2.0,0.001,2022-08-10 21:14:31.611
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0_1,2.0,0.5,0.5,200.0,202.66666666666669,2.3570226039551714,0.0191106219207281,0.0009635888595893,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.05,LINKX,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,70.88675213675214,7.144552776624141,48.47424046589007,5.305967049735132,70.88675213675214,7.144552776624141,0.1999999999999999,3.8717501063333466,0.1718778570063141,82.96584522265456,11.808948950907816,82.3359354397871,12.395962560829416,82.96584522265456,11.808948950907816,0.6,73.92373923739237,7.374434089482704,56.1900473821449,0.0975217157866115,73.92373923739237,7.374434089482698,0.2,2.0,0.001,2022-08-10 21:15:03.361
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0_2,2.0,0.5,0.5,200.0,226.6666666666667,17.21110752456744,0.0189600298142836,0.0008591023620355,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.05,LINKX,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,70.82590612002376,7.73754520816681,51.28584779965115,6.271109644625626,70.82590612002376,7.73754520816681,0.1999999999999999,4.312392378000008,0.5314696813599158,78.04776739356178,7.159839740784299,78.70735352926876,7.059549380098537,78.04776739356178,7.1598397407843,0.6,70.47970479704797,8.622377450588873,56.880451875038,4.728289760041148,70.47970479704797,8.622377450588873,0.2,2.0,0.001,2022-08-10 21:15:24.933
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_16_0,2.0,0.5,0.0,200.0,233.3333333333333,11.115554667022034,0.0185287286313171,0.0006033411373421,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.01,LINKX,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,70.53376906318083,6.724318902503048,49.47862287833601,2.117781865966489,70.53376906318083,6.724318902503046,0.1999999999999999,4.327508721999985,0.31480281022525,91.54869154869156,2.1499299894167,91.6463349997244,1.9781471150837016,91.54869154869156,2.1499299894167,0.6,69.98769987699876,8.135301724955552,51.17299082165792,2.9947565812298493,69.98769987699876,8.135301724955548,0.2,2.0,0.001,2022-08-10 21:18:03.216
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_16_1,2.0,0.5,0.0,200.0,201.0,0.0,0.0187979753681593,0.0008450691001199,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.01,LINKX,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,75.22988505747125,2.0221393202022053,54.09213871354353,1.686026930370301,75.22988505747125,2.0221393202022,0.1999999999999999,3.7783930490000257,0.1698588891241193,91.84531315678856,0.0786392893395094,91.9122662442514,0.085824285605517,91.84531315678856,0.0786392893395094,0.6,71.27921279212792,5.16678375882121,52.69724449645186,4.535101095061468,71.27921279212792,5.16678375882121,0.2,2.0,0.001,2022-08-10 21:18:26.011
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_16_2,2.0,0.5,0.0,200.0,219.0,19.442222095223585,0.018944196805253,0.0007200175001351,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.01,LINKX,2.0,1.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,80.82191780821918,4.861325194033697,55.88751636233032,1.5786713315543277,80.82191780821918,4.861325194033691,0.1999999999999999,4.145289780666663,0.3533228564762314,92.393594605984,0.873340993512966,92.32583052232005,0.8599511970521766,92.393594605984,0.873340993512966,0.6,81.24231242312425,4.218960119592251,60.75495052253776,5.01600404332709,81.24231242312425,4.218960119592251,0.2,2.0,0.001,2022-08-10 21:18:47.631
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_1_0,2.0,0.5,0.0,200.0,201.0,0.0,0.0201025501757877,0.0010048179596262,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,3.0,0.01,LINKX,2.0,2.0,10.0,1.0,1.0,False,GPR_prop,2000.0,3,50.0,True,73.11294765840222,3.431051785551572,49.73831070003219,1.905802573981572,73.11294765840222,3.431051785551572,0.1999999999999999,4.040612585333331,0.2019684098848787,97.86461669869745,0.6664311994160665,97.88663009491364,0.6977564025669991,97.86461669869745,0.6664311994160665,0.6,74.35424354243541,3.5103870093063545,49.95835086124021,1.1466013107115136,74.35424354243541,3.510387009306351,0.2,2.0,0.001,2022-08-10 21:15:48.788
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_1_1,2.0,0.5,0.0,200.0,204.3333333333333,4.714045207910321,0.0200302944593384,0.0011219138191121,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,3.0,0.01,LINKX,2.0,2.0,10.0,1.0,1.0,False,GPR_prop,2000.0,3,50.0,True,68.53685368536854,2.182270013737885,47.28174239299528,0.7735140042528021,68.53685368536854,2.182270013737885,0.1999999999999999,4.089808205000016,0.1885347477690537,92.991452991453,4.057691745092974,92.99871200096848,3.908693582355209,92.991452991453,4.057691745092974,0.6,71.40221402214021,2.534243269131181,48.45498632842752,1.898606920792813,71.40221402214023,2.534243269131186,0.2,2.0,0.001,2022-08-10 21:16:12.475
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_1_2,2.0,0.5,0.0,200.0,201.3333333333333,0.4714045207910426,0.0223837106852124,0.0036767411972452,2000.0,attribute,True,,8.0,128.0,PPR,last,10.0,16.0,3.0,0.01,LINKX,2.0,2.0,10.0,1.0,1.0,False,GPR_prop,2000.0,3,50.0,True,70.1525054466231,2.357827976243288,48.53139647908174,2.6254323723368085,70.1525054466231,2.357827976243288,0.1999999999999999,4.505468687333311,0.7332688762065155,98.41269841269842,1.01383975101643,98.45665244373016,0.9827246433033756,98.41269841269842,1.01383975101643,0.6,72.57072570725707,4.390299704200428,49.4384739317163,3.733985842743333,72.57072570725707,4.390299704200428,0.2,2.0,0.001,2022-08-10 21:16:35.507
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_4_0,2.0,0.5,0.0,200.0,211.0,9.092121131323912,0.0172514325078407,0.0008443189276588,2000.0,attribute,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,LINKX,2.0,1.0,10.0,1.0,1.0,False,GPR_prop,2000.0,3,50.0,True,75.83046964490264,2.053885575835176,55.71955638121081,0.8773153805563751,75.83046964490264,2.053885575835172,0.1999999999999999,3.6407811909999928,0.2430088522617427,88.0050505050505,2.13031157152252,87.86651799114095,2.430356279539948,88.0050505050505,2.13031157152252,0.6,76.99876998769989,3.077489791684328,61.52527176553527,3.539317709911294,76.99876998769989,3.07748979168433,0.2,2.0,0.001,2022-08-10 21:16:59.073
