aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,supplementary,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_0,2.0,0.5,0.5,40.0,58.00000000000001,2.449489742783176,0.0167347017759554,0.0003169790146923,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,89.86254295532645,1.0116564566240378,67.66501354498486,1.5511265845324105,89.86254295532645,1.0116564566240378,0.1999999999999999,0.9704251320411762,0.0410937737023896,94.97053872053873,0.1297225168974941,94.9162136965726,0.1322063235024451,94.97053872053873,0.1297225168974941,0.6,91.51291512915128,1.1373457570053445,67.47961340179484,0.8797707283884173,91.51291512915128,1.1373457570053445,0.2,2.0,5e-05,2022-08-09 17:00:59.792
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_1,2.0,0.5,0.5,40.0,65.66666666666666,10.49867716534908,0.0149350095243647,0.000257240973275,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.21252796420582,0.3447658838349544,62.67735812784271,0.6542789208616672,90.21252796420582,0.3447658838349597,0.1999999999999999,0.9827900690337024,0.1681978331916556,93.2271762208068,2.462661974309812,93.2125606255875,2.4617572381729045,93.2271762208068,2.462661974309812,0.6,88.99138991389913,0.6088250268518881,61.18405486706581,0.7629435455980839,88.99138991389913,0.6088250268518881,0.2,2.0,5e-05,2022-08-09 17:01:19.075
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_2,2.0,0.5,0.5,40.0,53.0,4.320493798938572,0.0155112750643392,0.0006001156383439,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,89.30107526881721,1.0965633362565157,63.49487486858006,0.5708318526733843,89.30107526881721,1.0965633362565157,0.1999999999999999,0.823872499788801,0.0933782589171175,92.92798620094868,2.042956202651948,92.80501419644747,2.099752403822211,92.92798620094868,2.042956202651948,0.6,90.5289052890529,1.3669194816047276,63.968133072618414,0.8140320572443047,90.5289052890529,1.3669194816047276,0.2,2.0,5e-05,2022-08-09 17:01:38.496
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_0,2.0,0.5,0.5,100.0,464.66666666666674,8.576453553512403,0.0116188911299725,0.0003615659187664,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,68.3848797250859,0.8761201913389632,50.68191826933512,0.8853032018502889,68.3848797250859,0.8761201913389632,0.1999999999999999,5.39853957357506,0.1856529897440053,99.1372053872054,0.1297225168974947,99.14089940884465,0.1236491038309093,99.1372053872054,0.1297225168974947,0.6,65.80565805658057,1.5164610093404596,48.163836590065976,0.159635696782779,65.80565805658057,1.5164610093404596,0.2,2.0,5e-06,2022-08-09 17:01:56.920
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_1,2.0,0.5,0.5,100.0,433.3333333333333,23.041026211713955,0.0115545080590804,0.0001807374931742,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,66.55480984340045,0.9121647891666717,47.21029682687978,0.8881847288573743,66.55480984340045,0.9121647891666717,0.1999999999999999,5.011079240590335,0.3411034930959427,99.15074309978768,0.0300257656554797,99.1514298609507,0.032011027435862,99.15074309978768,0.0300257656554797,0.6,65.37515375153752,0.7119210887324853,44.91989593874135,1.5312587474152022,65.37515375153752,0.7119210887324853,0.2,2.0,5e-06,2022-08-09 17:02:29.123
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_2,2.0,0.5,0.5,100.0,468.6666666666666,9.46337971105224,0.0116483512628612,0.0002443467389493,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,67.79569892473117,0.5482816681282534,49.19342791674986,0.4395256564338696,67.79569892473117,0.5482816681282534,0.1999999999999999,5.461468789105614,0.2248260608323361,99.74126778783958,0.0914756508650138,99.75241348415436,0.0890767595072855,99.74126778783958,0.0914756508650138,0.6,66.48216482164821,0.460228460857806,48.280132254530365,0.3910420400527705,66.48216482164821,0.460228460857806,0.2,2.0,5e-06,2022-08-09 17:03:00.304
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_0,2.0,0.5,0.5,100.0,107.33333333333331,1.699673171197596,0.0201080163221126,0.0031526370855693,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GAT,2.0,2.0,10.0,2.0,8.0,False,GPR_prop,2000.0,3,50.0,True,91.00801832760597,1.1426080952611697,70.16174781346307,1.6064206495648714,91.00801832760597,1.1426080952611666,0.1999999999999999,2.153225917369128,0.3027068983213391,95.03367003367003,0.9254475348188584,94.9944166429127,0.9291025423508714,95.03367003367003,0.9254475348188584,0.6,91.6359163591636,0.82968865702534,73.05471508652576,3.756758126958346,91.6359163591636,0.829688657025337,0.2,2.0,5e-05,2022-08-09 17:03:32.679
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_1,2.0,0.5,0.5,100.0,109.66666666666669,3.2998316455372247,0.0199900885955208,0.0027821077160643,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GAT,2.0,2.0,10.0,2.0,8.0,False,GPR_prop,2000.0,3,50.0,True,89.59731543624162,1.2555897271053509,61.79284168905102,0.7511556786249017,89.5973154362416,1.2555897271053555,0.1999999999999999,2.194982818017403,0.3353834738578592,94.5647558386412,0.94807276270769,94.55539722956678,0.9157348599636674,94.5647558386412,0.94807276270769,0.6,89.60639606396064,0.9080456986613422,62.4838880277691,0.9389227310344636,89.60639606396064,0.9080456986613415,0.2,2.0,5e-05,2022-08-09 17:03:54.865
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_2,2.0,0.5,0.5,100.0,107.0,2.1602468994692887,0.0212557266123685,0.0027809375483036,2000.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GAT,2.0,2.0,10.0,2.0,8.0,False,GPR_prop,2000.0,3,50.0,True,92.68817204301077,0.5322309105705223,65.2102525668244,0.6374502772479789,92.68817204301077,0.5322309105705223,0.1999999999999999,2.276654832685987,0.3183083860973262,94.22164726175076,0.9467226563216936,94.143443609706,0.9669934483798276,94.22164726175076,0.9467226563216936,0.6,92.92742927429276,0.8566044450912764,65.46932131276753,0.9937053881352856,92.92742927429276,0.8566044450912764,0.2,2.0,5e-05,2022-08-09 17:04:17.398
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_0,2.0,0.5,0.5,40.0,102.66666666666666,4.921607686744471,0.0175692619916083,0.0004324188781208,500.0,scalability_edge,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.002,GraphSAGE,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,88.31615120274914,0.3711764432077799,70.9149437704813,4.139124777828831,88.31615120274914,0.3711764432077816,0.1999999999999999,1.803298867618044,0.0865185176299994,97.93771043771044,0.8220549235953143,97.92487770364966,0.8317962480330969,97.93771043771044,0.8220549235953143,0.6,89.23739237392373,0.7119210887324868,68.70560141940625,0.8243454710167264,89.23739237392373,0.7119210887324868,0.2,2.0,5e-05,2022-08-09 17:04:40.549
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_1,2.0,0.5,0.5,40.0,99.0,3.741657386773945,0.0169335207426025,0.000456080294582,500.0,scalability_edge,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.002,GraphSAGE,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,88.25503355704697,1.217647710127362,61.59150918827717,0.947784728420959,88.25503355704697,1.217647710127362,0.1999999999999999,1.6764858650664487,0.0797539478273913,96.34819532908703,1.0035076261653053,96.30891598910031,1.0088084290914778,96.34819532908703,1.0035076261653053,0.6,87.94587945879458,1.3669194816047296,60.82616269910158,1.178260356328613,87.94587945879458,1.3669194816047296,0.2,2.0,5e-05,2022-08-09 17:05:01.726
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_2,2.0,0.5,0.5,40.0,109.0,5.354126134736332,0.0177153358425686,0.0014304669110132,500.0,scalability_edge,True,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.002,GraphSAGE,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,91.88172043010752,1.1200358417204137,64.95045700005808,1.1693184611216856,91.88172043010752,1.1200358417204137,0.1999999999999999,1.9253733959048984,0.111258847928836,97.15394566623544,1.1290234981962968,97.11492883815318,1.1249178996116072,97.15394566623544,1.1290234981962968,0.6,91.389913899139,0.82968865702534,64.4597838524021,0.7224039256272488,91.389913899139,0.82968865702534,0.2,2.0,5e-05,2022-08-09 17:05:22.927
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_0,2.0,0.5,0.5,40.0,62.33333333333334,1.699673171197596,0.020661102216777,0.0006390806831867,2000.0,scalability_edge,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.05,ChebNet,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,89.28980526918672,2.306647258373682,71.17219440709668,2.50236152118909,89.28980526918672,2.306647258373682,0.1999999999999999,1.2869091189155974,0.0180112939243337,99.89478114478116,0.1073025991917653,99.89305465661022,0.1105971583329514,99.89478114478116,0.1073025991917653,0.6,87.94587945879458,0.2301142304289025,69.26721434903101,3.977796839048707,87.94587945879458,0.2301142304288986,0.2,2.0,5e-06,2022-08-09 17:05:45.158
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_1,2.0,0.5,0.5,40.0,61.66666666666667,3.6817870057290905,0.0208110745048926,0.0005275791047657,2000.0,scalability_edge,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.05,ChebNet,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,88.47874720357942,1.165137956152105,61.57717070715598,0.5871786809702877,88.47874720357942,1.1651379561521016,0.1999999999999999,1.283386659498016,0.0826606454120655,99.29936305732484,0.4622407867744636,99.29714316214364,0.4630179429510101,99.29936305732484,0.4622407867744636,0.6,88.25338253382533,0.7582305046702343,60.56341468091843,0.8076088323837135,88.25338253382533,0.7582305046702343,0.2,2.0,5e-06,2022-08-09 17:06:05.335
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_2,2.0,0.5,0.5,40.0,67.33333333333333,4.714045207910316,0.0216442177421937,0.0002263696717478,2000.0,scalability_edge,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.05,ChebNet,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.05376344086021,1.9189858384488965,63.76105170874585,1.6825897034369728,90.05376344086021,1.9189858384489007,0.1999999999999999,1.4568476291994257,0.0949281068350488,99.84907287623976,0.0806739410688656,99.85202263151606,0.0825680248027179,99.84907287623976,0.0806739410688656,0.6,91.57441574415743,1.281221811562096,65.1324115315584,1.2858340171153844,91.57441574415743,1.2812218115620908,0.2,2.0,5e-06,2022-08-09 17:06:25.466
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_0,2.0,0.5,0.5,40.0,99.0,1.1102230246251564e-14,0.0144590353499157,0.0002604981327777,100.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,91.3516609392898,0.5311350799252962,68.08976921285647,2.205629243565234,91.3516609392898,0.5311350799252962,0.1999999999999999,1.4314444996416569,0.0257893151449989,94.57070707070706,0.2727584469026869,94.53128382021784,0.2745428601182734,94.57070707070706,0.2727584469026869,0.6,90.159901599016,0.6271856720286331,68.23195623549168,0.437277907367437,90.159901599016,0.6271856720286345,0.2,2.0,0.0,2022-08-09 17:06:45.681
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_1,2.0,0.5,0.5,40.0,99.0,1.1102230246251564e-14,0.0141047424251081,0.0001975966453906,100.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.0447427293065,1.046324772587793,62.16645907919537,0.6542054467270773,90.04474272930648,1.0463247725877942,0.1999999999999999,1.3963695000857113,0.0195620678936777,94.01273885350318,0.1875108464188502,93.95667541250992,0.1953864501751937,94.01273885350318,0.1875108464188502,0.6,89.48339483394832,0.6566468789687147,62.54746707602868,0.6739397856653814,89.48339483394835,0.65664687896872,0.2,2.0,0.0,2022-08-09 17:07:06.205
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_25000_2,2.0,0.5,0.5,40.0,99.0,1.1102230246251564e-14,0.0124577498596525,0.0003874597025277,100.0,scalability_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,92.68817204301077,0.9343089890850952,65.89668342442097,0.7103860248906243,92.68817204301077,0.9343089890850952,0.1999999999999999,1.233317236105601,0.0383585105502474,94.372574385511,0.3168809499072672,94.33315868292516,0.3100811472054425,94.372574385511,0.3168809499072672,0.6,93.4809348093481,0.173950007671965,65.675791747523,0.1116236712533574,93.4809348093481,0.173950007671965,0.2,2.0,0.0,2022-08-09 17:07:25.352
