aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,supplementary,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_120000_200000_0,2.0,0.5,0.5,100.0,113.33333333333336,5.436502143433359,0.120142845577075,0.0086976620052502,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.96581259691354,0.0159510219262291,64.19486840686903,0.2075383749427138,90.96581259691354,0.0159510219262291,0.1999999999999999,13.629670225083828,1.3066923613819783,92.61011308780992,0.1754645273250668,92.6111870468268,0.171005140144337,92.61011308780992,0.1754645273250668,0.6,91.00555555555556,0.2013362000041197,64.45898944345653,0.0888709671536016,91.00555555555556,0.2013362000041202,0.2,2.0,5e-06,2022-08-09 20:02:19.200
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_120000_200000_1,2.0,0.5,0.5,100.0,120.0,5.715476066494087,0.1076210080288725,0.0011715824307916,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,91.03474779029838,0.1984779584527579,64.38468388207563,0.0450048900498811,91.03474779029838,0.1984779584527579,0.1999999999999999,12.921105474854508,0.7584131832753648,93.10047122262256,0.2839124523987859,93.11402645928015,0.2808583035440321,93.10047122262256,0.2839124523987859,0.6,91.04444444444444,0.3115324527810906,64.21196852721636,0.2171267446529426,91.04444444444444,0.3115324527810887,0.2,2.0,5e-06,2022-08-09 20:03:16.851
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_120000_200000_2,2.0,0.5,0.5,100.0,119.66666666666666,6.649979114420007,0.1275438667701602,0.0112954993991314,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.98871733966746,0.0768418455723974,64.20673699662149,0.0128690683430659,90.98871733966746,0.0768418455723974,0.1999999999999999,15.19513251632452,0.7205479484113322,92.80101173926477,0.4812013342053475,92.79690079788509,0.4804760589754105,92.80101173926477,0.4812013342053475,0.6,90.73333333333332,0.1922394822051875,63.95588619347345,0.2114010063499621,90.73333333333332,0.1922394822051875,0.2,2.0,5e-06,2022-08-09 20:04:11.294
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_25000_0,2.0,0.5,0.5,100.0,101.0,0.0,0.0264329373676686,0.0003757966229482,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,89.4079143112169,0.6068455237837309,63.17943606848394,0.6723269911470038,89.4079143112169,0.6068455237837309,0.1999999999999999,2.6697266741345325,0.037955458917774,92.44897171740556,2.06579971975452,92.43104128204688,2.068681060148734,92.44897171740556,2.06579971975452,0.6,88.6,0.3399346342395193,62.881710275178,0.2781677442089751,88.6,0.3399346342395193,0.2,2.0,5e-06,2022-08-09 17:47:28.721
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_25000_1,2.0,0.5,0.5,100.0,102.66666666666666,1.2472191289246484,0.0263547641738541,0.000274350432594,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,88.65142970218662,0.3788303100638501,62.34172875765027,0.3358278210881379,88.65142970218662,0.3788303100638501,0.1999999999999999,2.706007393697897,0.0570002145502114,93.09465878808945,1.9665067324089585,93.10341385972376,1.9666028304024683,93.09465878808945,1.9665067324089585,0.6,89.34444444444445,0.5606433694019022,62.66212186806891,0.4424179852257669,89.34444444444445,0.5606433694019022,0.2,2.0,5e-06,2022-08-09 17:47:52.921
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_25000_2,2.0,0.5,0.5,100.0,102.33333333333331,1.2472191289246484,0.0257695436992885,0.0007781923927514,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.64029567475777,0.7707738177548882,63.86630959471651,0.4586315501071826,90.64029567475777,0.7707738177548882,0.1999999999999999,2.637961371491353,0.1102368502255964,91.36557774443034,1.6299704912118247,91.41183116161464,1.5859848533694605,91.36557774443034,1.6299704912118247,0.6,90.05555555555556,0.2586765939293945,63.52031347581308,0.242922025555848,90.05555555555556,0.2586765939293945,0.2,2.0,5e-06,2022-08-09 17:48:17.321
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_60000_100000_0,2.0,0.5,0.5,100.0,113.0,2.9439202887759417,0.0707734580330794,0.0007371424232508,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.44360137866052,0.4932233401827144,63.78763307468902,0.3322296607381802,90.44360137866052,0.4932233401827144,0.1999999999999999,7.99940019659698,0.2883826312094268,92.98260844402004,0.1464716350938302,92.96122998766586,0.135068938878856,92.98260844402004,0.1464716350938302,0.6,90.59444444444443,0.1838796573715026,63.776726182112085,0.1339204904109659,90.59444444444443,0.1838796573715026,0.2,2.0,5e-06,2022-08-09 20:00:15.260
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_60000_100000_1,2.0,0.5,0.5,100.0,108.66666666666669,2.0548046676563274,0.0715903880435281,0.0020004326273542,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,91.5778830028608,0.1925858045314656,64.41045916361098,0.1207227910358453,91.5778830028608,0.1925858045314648,0.1999999999999999,7.775499806428948,0.0798588812935419,93.1465800564513,0.7757074689938306,93.16644540459671,0.7652305318546877,93.1465800564513,0.7757074689938306,0.6,91.05833333333334,0.1711886548681198,63.97893404847296,0.0932189054570863,91.05833333333334,0.171188654868125,0.2,2.0,5e-06,2022-08-09 20:00:55.605
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_60000_100000_2,2.0,0.5,0.5,100.0,115.33333333333331,2.8674417556808693,0.0748051695285386,0.001507908135565,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.71795631979444,0.5484842980008046,64.0366607995043,0.3085897620921889,90.71795631979444,0.5484842980008046,0.1999999999999999,8.631783279279869,0.3883472600796325,92.2356168617905,0.5673250949243555,92.23320027661472,0.559308491829088,92.2356168617905,0.5673250949243555,0.6,90.8638888888889,0.2321730410440782,63.893336336072274,0.0788761189020174,90.8638888888889,0.2321730410440782,0.2,2.0,5e-06,2022-08-09 20:01:35.832
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_120000_200000_0,2.0,0.5,0.5,100.0,257.0,35.8143360495021,0.1204327483465494,0.0023931684888007,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,83.42932388195624,0.1605418010422404,59.07193729609919,0.018950477308987,83.42932388195624,0.1605418010422354,0.1999999999999999,30.86699250650902,3.685156657742087,87.55985721333836,0.1292524070095664,87.64950381389735,0.1348335221383855,87.55985721333836,0.1292524070095664,0.6,83.51666666666667,0.1973200070575347,59.20542409392692,0.106958302270734,83.51666666666667,0.1973200070575347,0.2,2.0,5e-06,2022-08-09 20:08:20.467
