aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512,7,True,False,GenCAT_cora_12000_20000_2,2,0.5,0.5,40,53.0,2.44948974278318,0.0242659005250443,0.0001488017783018,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,89.73303393213573,0.8425970454475191,63.06465549395658,0.6758941154107168,89.73303393213573,0.8425970454475191,0.1999999999999999,1.2860779290397963,0.0593878601122511,94.78444957659738,0.3536292306584487,94.776878022717,0.3535051411274362,94.78444957659738,0.3536292306584487,0.6,89.81944444444444,0.9092715168518312,63.38834882805621,0.9273000785303418,89.81944444444444,0.9092715168518312,0.2,2,0.0,2022-06-13 13:42:48.686
mean,0.1,0.01,512,7,True,False,GenCAT_cora_12000_20000_1,2,0.5,0.5,40,52.33333333333333,1.2472191289246484,0.0245310994497303,0.0004222663321966,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,89.20240782543266,0.6501871781698386,63.02731064722138,0.5917180720929642,89.20240782543266,0.6501871781698386,0.1999999999999999,1.283756570269664,0.0360710364805371,94.41563430327476,1.11793825162411,94.4194814180651,1.1020703876666282,94.41563430327476,1.11793825162411,0.6,90.625,1.0051948401512376,64.05002179509557,0.3820986576984274,90.625,1.0051948401512376,0.2,2,0.0,2022-06-13 13:42:27.468
mean,0.1,0.01,512,7,True,False,GenCAT_cora_12000_20000_0,2,0.5,0.5,40,53.333333333333336,0.9428090415820642,0.0253441354382786,0.0003481237027596,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,87.99093655589124,0.2523909573988329,62.04445584260995,0.3084540896012773,87.99093655589124,0.2523909573988329,0.1999999999999999,1.3515914945552745,0.0258326131452578,91.54200230149596,1.9098531245821448,91.52850453927417,1.9609247262881264,91.54200230149596,1.9098531245821493,0.6,87.80555555555554,1.0770831094634057,61.77322593090148,0.8002147833700689,87.80555555555554,1.0770831094634057,0.2,2,0.0,2022-06-13 13:42:06.174
mean,0.1,0.01,512,7,True,False,GenCAT_cora_9000_15000_2,2,0.5,0.5,100,101.0,0.0,0.0226761349061928,0.0009546107332987,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,88.55721393034827,0.8452832462603456,61.94287732692486,0.8191074976063645,88.55721393034827,0.8452832462603456,0.1999999999999999,2.2902896255254745,0.0964156840631775,90.8927424534361,1.6234847860870183,90.92788700456089,1.5782484499623082,90.8927424534361,1.6234847860870183,0.6,88.24074074074075,0.2045437225405049,61.55276985155972,0.5740055903764091,88.24074074074075,0.2045437225405049,0.2,2,0.0,2022-06-13 13:41:41.803
mean,0.1,0.01,512,7,True,False,GenCAT_cora_9000_15000_1,2,0.5,0.5,100,101.0,0.0,0.0218782412755017,0.0004339412277396,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,87.76655443322112,1.1532871898896555,62.04091386338618,0.5426586405762491,87.76655443322109,1.1532871898896608,0.1999999999999999,2.209702368825674,0.0438280640017052,93.95300397057866,1.4222743249362912,93.94015737234972,1.4144152389880609,93.95300397057866,1.4222743249362912,0.6,88.79629629629629,0.6640896695200391,62.629933782964834,0.5424147151447397,88.79629629629629,0.6640896695200391,0.2,2,0.0,2022-06-13 13:41:18.515
mean,0.1,0.01,512,7,True,False,GenCAT_cora_9000_15000_0,2,0.5,0.5,100,101.33333333333334,0.4714045207910321,0.0220690702908365,0.000227147331368,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,89.24466338259441,0.3018846684868649,63.00924253826029,0.3229129308521898,89.24466338259441,0.3018846684868649,0.1999999999999999,2.2364327802012363,0.0330283707627818,92.82398452611218,0.6239722546452717,92.86335216549024,0.6406398404599487,92.82398452611218,0.6239722546452762,0.6,89.37037037037037,0.916619901538114,63.03138466212215,0.790275787905524,89.37037037037037,0.916619901538114,0.2,2,0.0,2022-06-13 13:40:55.192
mean,0.1,0.01,512,7,True,False,GenCAT_cora_6000_10000_2,2,0.5,0.5,40,48.333333333333336,1.2472191289246484,0.020002703949045,0.0002957658677642,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,89.49464774707494,0.9234372412741552,63.47853058204224,2.0309494437229505,89.49464774707494,0.9234372412741584,0.1999999999999999,0.9665909061829248,0.0206262148109919,93.29673504767408,1.38024512135177,93.23244005303609,1.41300646805408,93.29673504767408,1.38024512135177,0.6,89.86111111111111,0.6322114820411698,63.26214448713118,1.0197319526073283,89.86111111111111,0.6322114820411698,0.2,2,5e-06,2022-06-13 13:40:34.747
mean,0.1,0.01,512,7,True,False,GenCAT_cora_6000_10000_1,2,0.5,0.5,40,55.333333333333336,2.0548046676563225,0.0194216293087677,0.0004571259756603,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,89.2086330935252,0.3108268920099721,63.12172156360836,0.561836915293595,89.2086330935252,0.3108268920099721,0.1999999999999999,1.0753613902876775,0.0606839405829456,93.33333333333334,2.396970811181876,93.34648040522518,2.430717386229704,93.33333333333334,2.396970811181876,0.6,87.99999999999999,0.2453266907313297,62.62881321625749,0.4571359258159159,87.99999999999999,0.2453266907313297,0.2,2,5e-06,2022-06-13 13:40:14.567
mean,0.1,0.01,512,7,True,False,GenCAT_cora_6000_10000_0,2,0.5,0.5,40,46.333333333333336,0.4714045207910295,0.0193146899138065,0.0002111368903279,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,89.80237154150198,0.3353866155825503,63.55075457879437,0.3481325670095939,89.80237154150198,0.3353866155825503,0.1999999999999999,0.8949378070731958,0.0148447543787428,93.05987741631306,1.401988366690195,93.0524079342621,1.3992622825905114,93.05987741631306,1.401988366690195,0.6,87.5,1.0069204977995472,61.61736343330554,0.5305130483698225,87.5,1.006920497799545,0.2,2,5e-06,2022-06-13 13:39:55.375
mean,0.1,0.01,512,7,True,False,GenCAT_cora_3000_5000_2,2,0.5,0.5,100,101.0,0.0,0.0169350054643728,0.0006062110366353,2000,scalability_node_edge,True,,8,64,PPR,last,10,16,2,0.05,GCN,2,10,1,False,GPR_prop,2000,3,50,88.03294573643412,1.5305783913693165,61.81886747807687,1.8334651745903767,88.03294573643412,1.5305783913693165,0.1999999999999999,1.7104355519016583,0.0612273147001723,93.12694704049844,2.074671924450542,93.06952344631996,2.065017133058181,93.12694704049844,2.074671924450542,0.6,88.0,0.1360827634879575,62.36030034170361,0.3004828030170398,88.0,0.1360827634879575,0.2,2,5e-06,2022-06-13 13:39:32.876
